,filename,xmin,ymin,xmax,ymax,points
0,AK_BrooksCamp_2012/,-17347360,8065364,-17321558,8091166,529285317
1,AK_Coastal_2009/,-15730544,10937407,-15691854,10976097,55711772
2,AK_DeltaJunction_1_2021/,-16360095,9205564,-16067911,9497748,19036249620
3,AK_Fairbanks-NSBorough_2010/,-16471700,9519129,-16381190,9609639,1266097458
4,AK_GlacierBay_4_2019/,-15402369,7986381,-15085247,8303503,23016813926
5,AK_GlacierBay_B3_2019/,-15336540,7982973,-15104422,8215091,10887933191
6,AK_Juneau_2012/,-15014449,8012267,-14943073,8083643,2211557952
7,AK_Kenai_2008/,-16906356,8303726,-16570284,8639798,14054081685
8,AK_MatanuskaSusitna-Lot1_2011/,-16782341,8663224,-16678201,8767364,4988109681
9,AK_MatanuskaSusitna-Lot2_2011/,-16768328,8706126,-16390088,9084366,41053208083
10,AK_NomeCreek_2010/,-16391082,9681153,-16348578,9723657,94592518
11,AK_NorthSlope_B10_2018/,-18152228,10978280,-18139030,10991478,148956845
12,AK_NorthSlope_B11_2018/,-18571233,10544583,-18557621,10558195,122307792
13,AK_NorthSlope_B12_2018/,-16905696,10474287,-16872158,10507825,1334154425
14,AK_NorthSlope_B13_2018/,-18156267,10971456,-18129745,10997978,257243550
15,AK_NorthSlope_B14_2018/,-18572778,10488876,-18475800,10585854,873026233
16,AK_NorthSlope_B1_2018/,-15990539,11105651,-15983447,11112743,65787971
17,AK_NorthSlope_B2_2018/,-16816671,11131304,-16801711,11146264,298602840
18,AK_NorthSlope_B3_2018/,-17624395,11221392,-17308565,11537222,1425929011
19,AK_NorthSlope_B4_2018/,-17818846,11272822,-17806160,11285508,245802864
20,AK_NorthSlope_B5_2018/,-16002250,11095749,-15985036,11112963,105090115
21,AK_NorthSlope_B6_2018/,-16819308,10987385,-16504630,11302063,1130865095
22,AK_NorthSlope_B7_2018/,-17615692,11209724,-17315734,11509682,1936889647
23,AK_NorthSlope_B8_2018/,-17834433,11247373,-17782965,11298841,767769101
24,AK_NorthSlope_B9_2018/,-16896611,10483668,-16885307,10494972,338421753
25,AK_ValdezB_2007/,-16324046,8607668,-16242942,8688772,1068352809
26,AK_Valdez_2007/,-16324097,8595907,-16243073,8676931,798336818
27,AK_YukonFlats_2009/,-16355534,9810051,-16124550,10041035,968643215
28,AL_25Co_TL_2017/,-9738245,3679488,-9583993,3833740,25358618
29,AL_BaldwinCo-East_2011/,-9769660,3541928,-9711848,3599740,1761346914
30,AL_BaldwinCo-West_2011/,-9806543,3585333,-9776607,3615269,583915920
31,AL_BlountCo_2010/,-9680980,3993429,-9606762,4067647,6784747694
32,AL_ColbertLauderdale_2011/,-9819698,4079099,-9707786,4191011,8415951101
33,AL_NorthAL_2019/,-9680134,4083753,-9599032,4164855,17049074343
34,AL_TriCounty_2010/,-9638897,3908730,-9519967,4027660,14056469697
35,AR-TN_NRCS_CaneCreek_2010/,-9988653,4246921,-9955677,4279897,2020907672
36,AR-TN_NRCS_Sharkey_2010/,-10049752,4228773,-9967132,4311393,4552390775
37,ARRA-AK_EkluntaGlacier_2010/,-16603766,8652921,-16555184,8701503,222033349
38,ARRA-AL_MobileBay_2010/,-9800749,3540495,-9727125,3614119,2967270338
39,ARRA-AL_TennesseeRiver_2010/,-9938965,3832734,-9704069,4067630,1100765751
40,ARRA-CA_CentralCoast-Z3_2010/,-13621084,4395815,-13528984,4487915,3288590995
41,ARRA-CA_CentralCoast-Z4_2010/,-13590521,4270733,-13426673,4434581,5161164938
42,ARRA-CA_ChannelIslands-10_2010/,-13411348,3998023,-13353676,4055695,2031643056
43,ARRA-CA_ChannelIslands-11_2010/,-13387398,3928047,-13248460,4066985,4146924496
44,ARRA-CA_GoldenGate_2010/,-13720506,4498165,-13585440,4633231,8777987577
45,ARRA-CA_SanFranCoast_2010/,-13694835,4483742,-13569237,4609340,2215580200
46,ARRA-CO_GrandCo_2010/,-11840024,4792671,-11722632,4910063,4332851582
47,ARRA-FL_Charlotte-E_2010/,-9084779,3094427,-9065857,3113349,368962146
48,ARRA-FL_Charlotte-W_2010/,-9103062,3096199,-9078994,3120267,693122831
49,ARRA-FL_KissimmeeRiver_2011/,-9070581,3171193,-9005243,3236531,2209333352
50,ARRA-FL_LibertyCo_2010/,-9503474,3502055,-9421760,3583769,2068638919
